sigma,sigma_blur,global_auroc,global_auroc_wo_sid,ADM AUROC,CollabDiff AUROC,SID AUROC
0.038,0.7,0.586306,0.741814,0.828106,0.657836,0.426321
0.038,0.75,0.613113,0.771904,0.844874,0.691632,0.454898
0.038,0.8,0.611963,0.782389,0.835404,0.724776,0.443654
0.038,0.85,0.600904,0.780517,0.820112,0.737712,0.423889
0.038,0.9,0.591421,0.777709,0.809074,0.744196,0.407801
0.038,0.95,0.585331,0.776539,0.801512,0.750224,0.396484
0.038,1.0,0.58085,0.775278,0.794882,0.754806,0.387752
0.04,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.04,0.35,0.520669,0.708676,0.48818,0.903612,0.306884
0.04,0.4,0.538414,0.744155,0.523696,0.919508,0.306769
0.04,0.45,0.550625,0.792789,0.642416,0.909076,0.295063
0.04,0.5,0.534309,0.782605,0.71806,0.862136,0.28151
0.04,0.55,0.529652,0.762778,0.741912,0.821668,0.292069
0.04,0.6,0.540566,0.753397,0.7668,0.780236,0.321701
0.04,0.65,0.559699,0.744469,0.798176,0.717556,0.367878
0.04,0.7,0.586274,0.74173,0.827946,0.657836,0.426316
0.04,0.75,0.613116,0.771938,0.844842,0.691632,0.454858
0.04,0.8,0.611852,0.782248,0.835076,0.724776,0.443508
0.04,0.85,0.600592,0.780145,0.819472,0.737684,0.423604
0.04,0.9,0.590896,0.777071,0.808134,0.744068,0.40744
0.04,0.95,0.584621,0.775693,0.800144,0.750072,0.396025
0.04,1.0,0.579997,0.774466,0.793338,0.754578,0.387178
